PLD (Å),LCD (Å),Sacc (m2/g-1),φ,NCH4 at 10 bar (mol/kg)
5.74816,6.0027,837.66699,0.47725,0.8161637929
19.51272,19.719,2413.69995,0.76503,1.6341486117
16.31454,16.86472,2502.93994,0.74762,1.6751065459
13.20257,13.63704,2262.16992,0.70369,1.5507445992
7.29541,8.24978,1463.32996,0.55906,1.7580437989
9.76591,9.9715,1374.06995,0.54992,1.7591307008
7.64416,11.50422,7795.7002,0.83789,3.3783442049
5.7532,6.32614,7445.02002,0.75824,4.3952831505
4.72002,7.67734,2326.67993,0.67864,2.1896554071
5.64925,5.87881,1367.06006,0.59478,1.3862179369
12.10114,14.32155,5205.54004,0.87184,4.6074018618
6.98122,7.53693,3176.15991,0.71748,2.1997184794
7.73396,7.85886,1465.04004,0.57458,1.1220356741
9.94781,10.00281,1770.72998,0.61103,1.1856409943
6.35265,7.06143,1937.55005,0.60387,1.7163473005
13.66038,16.30857,6104.91992,0.83932,3.4329571607
12.29168,13.46817,7309.81006,0.8534,3.8486397219
4.40763,5.96864,439.423,0.4734,0.8564616979
24.50311,25.03222,2721.07007,0.77,2.895189285
24.67919,25.26264,3221.18994,0.78652,2.7376759492
23.92011,24.32238,2344.42993,0.73042,1.822595197
32.02223,32.33411,2458.26001,0.77238,3.3057993385
38.93275,39.2125,2801.78003,0.81206,3.5045758479
27.22939,27.58431,2234.05005,0.75056,1.8050023445
18.07182,18.53359,1962.89001,0.70656,1.444311586
9.97186,10.44935,1846.77002,0.6252,2.1532273453
9.29842,9.76614,1564.19995,0.59067,1.9907205161
29.11056,29.29451,1901.73999,0.76208,1.526217846
32.1037,32.25806,1315.5,0.71935,1.5078157659
29.68302,29.86297,2073.33008,0.78502,1.399359461
12.07344,12.33825,3341.40991,0.75037,1.7201231967
10.15971,10.5607,1313.73999,0.57709,1.4440847538
31.68053,31.93576,2453.84009,0.82388,1.6760227276
21.08432,21.27537,2041.90002,0.69204,1.6722338964
21.54252,21.84179,2050.73999,0.71778,1.5842985355
12.63556,13.02066,1459.51001,0.61757,2.1219194083
28.67844,28.86514,1962.54004,0.77062,1.8222411116
11.36215,11.54437,1136.53003,0.55798,1.3365848066
16.56776,16.89202,1721.70996,0.66147,1.8005892124
15.58649,15.79013,1935.71997,0.6834,1.5293088872
22.49727,22.82201,2291.43994,0.75315,1.7016100826
13.84176,14.11638,1841.73999,0.66391,1.6607911113
29.88767,30.08247,1755.21997,0.77404,1.7050549212
31.38514,31.68082,2288.70996,0.77273,1.927193513
23.42764,23.68646,1787.83997,0.72526,1.5945014154
7.49194,8.39472,5218.75977,0.77203,4.3545868017
7.37376,8.49886,4329.56006,0.74859,3.5322548029
31.32681,31.50292,2066.5,0.73273,1.6522204342
9.73082,10.16494,3541.15991,0.71726,2.456856649
8.981,9.50439,1114.73999,0.5048,1.4292983802
22.59331,22.7768,1778.12,0.71551,2.0910623227
15.93388,16.0767,2786.3999,0.7228,1.7645606674
15.87921,16.17243,1430.90002,0.62858,1.8005441538
35.25057,35.39294,1904.45996,0.79225,1.7842121729
32.73608,32.90312,1914.83997,0.78026,1.8345978716
8.54052,9.02697,917.12201,0.48427,1.1660339107
10.69113,11.33369,1461.26001,0.57216,1.8112557371
34.44702,34.61577,1927.94995,0.79281,1.7813760574
22.28222,22.52993,1822.82996,0.73517,1.6771524917
29.34631,29.53267,1935.90002,0.77599,1.7618488317
14.50589,14.87005,1511.42004,0.64616,1.8322893351
15.39744,15.74056,1649.58997,0.67012,1.5924251124
34.82462,34.97957,1871.72998,0.79182,1.7164721529
15.76522,16.06665,2174.21997,0.71635,1.7111758344
7.84341,8.45883,1408.23999,0.56871,1.6444046972
7.16546,9.34648,4355.20996,0.74865,3.0195133406
7.98521,9.5929,3984.08008,0.72543,3.3395812456
18.49772,22.89609,8557.29004,0.93775,3.3868069039
5.02763,5.60554,1138.80005,0.5691,1.4700984265
5.05582,5.65179,621.33502,0.5521,1.3318631146
21.6511,21.90241,1671.43005,0.69497,1.6727569631
23.44472,23.68264,1937.41003,0.73418,1.6213023477
14.56137,14.80414,1609.76001,0.65526,1.5115654977
10.9469,11.39779,1402.31995,0.58702,1.7036308553
18.84768,19.35841,2235.11011,0.75318,1.5763275304
18.58985,19.00793,1896.52002,0.72625,1.2252166982
37.54964,37.7406,2652.96997,0.83613,1.8112757907
31.34048,31.52025,1949.42004,0.7784,1.6730509046
7.98976,9.04156,5128.68994,0.7805,4.0267800475
8.50466,9.68318,5315.4502,0.79716,4.1357283786
19.05082,27.45829,6386.62988,0.91614,3.3194032982
24.20917,24.5783,2130.01001,0.73436,1.8599917459
24.5001,24.81511,2467.05005,0.75942,1.8767268575
7.65148,8.38547,514.70801,0.53722,0.2988498489
27.51608,27.69352,2252.38989,0.78329,1.7637168019
30.65049,30.71288,2236.40991,0.79404,1.7620961568
29.45895,29.67223,2426.79004,0.80333,1.758966159
34.39789,34.55962,2458.88989,0.82138,1.7912300992
37.59113,37.61945,2310.25,0.82077,1.7656622956
36.4962,36.62303,2594.13989,0.83577,1.8351401836
55.44838,55.49799,2374.01001,0.86184,1.9892444389
60.73781,60.77867,2414.87988,0.87495,2.0364870586
9.83864,10.52235,1355.10999,0.5936,0.5773175711
12.22862,12.7305,1936.48999,0.63643,1.9210675383
14.32871,14.70936,1705.06995,0.65676,1.9089518462
27.14113,34.56118,7632.5498,0.90721,3.4956909956
5.40988,9.86844,4239.87012,0.72369,3.4025122364
4.09217,4.26472,280.26501,0.43218,1.1249070272
8.87996,8.9758,1887.91003,0.62849,2.0647152039
9.26179,9.35662,3301.47998,0.72525,2.5433754963
12.74558,13.0458,1137.10999,0.55676,1.3850386083
12.78481,13.04187,1019.62,0.57778,1.3063983126
8.28768,8.45131,1815.68994,0.62757,1.406028097
18.69032,20.45325,4020.01001,0.81311,2.7083348005
30.82864,31.00321,2242.76001,0.78767,1.6343063655
