PLD (Å),LCD (Å),Sacc (m2/g-1),φ,NCO2 at 1 bar (mol/kg)
5.74816,6.0027,837.66699,0.47725,0.5371854178
19.51272,19.719,2413.69995,0.76503,0.251026665
16.31454,16.86472,2502.93994,0.74762,0.2705195905
13.20257,13.63704,2262.16992,0.70369,0.2681573866
7.29541,8.24978,1463.32996,0.55906,0.8028184405
9.76591,9.9715,1374.06995,0.54992,0.8062617187
7.64416,11.50422,7795.7002,0.83789,0.4682748395
5.7532,6.32614,7445.02002,0.75824,1.5437512074
4.72002,7.67734,2326.67993,0.67864,1.6700354817
5.64925,5.87881,1367.06006,0.59478,0.8491557982
12.10114,14.32155,5205.54004,0.87184,0.958748748
6.98122,7.53693,3176.15991,0.71748,1.3327149745
7.73396,7.85886,1465.04004,0.57458,0.2129375092
9.94781,10.00281,1770.72998,0.61103,0.1833628535
6.35265,7.06143,1937.55005,0.60387,0.7635107554
13.66038,16.30857,6104.91992,0.83932,0.7108662693
12.29168,13.46817,7309.81006,0.8534,0.5783821734
4.40763,5.96864,439.423,0.4734,0.6868901527
24.50311,25.03222,2721.07007,0.77,0.4110504363
24.67919,25.26264,3221.18994,0.78652,0.588958661
23.92011,24.32238,2344.42993,0.73042,0.4024403633
32.02223,32.33411,2458.26001,0.77238,0.4306630653
38.93275,39.2125,2801.78003,0.81206,0.4429404065
27.22939,27.58431,2234.05005,0.75056,0.4380362915
18.07182,18.53359,1962.89001,0.70656,0.2545884422
9.97186,10.44935,1846.77002,0.6252,0.3888807554
9.29842,9.76614,1564.19995,0.59067,0.4863702276
29.11056,29.29451,1901.73999,0.76208,0.2741254514
32.1037,32.25806,1315.5,0.71935,0.3974074177
29.68302,29.86297,2073.33008,0.78502,0.2163494226
12.07344,12.33825,3341.40991,0.75037,0.7643076309
10.15971,10.5607,1313.73999,0.57709,0.6653677764
31.68053,31.93576,2453.84009,0.82388,0.3476825372
21.08432,21.27537,2041.90002,0.69204,0.4125702041
21.54252,21.84179,2050.73999,0.71778,0.3072313624
12.63556,13.02066,1459.51001,0.61757,0.7565874039
28.67844,28.86514,1962.54004,0.77062,0.2866947872
11.36215,11.54437,1136.53003,0.55798,0.5744098522
16.56776,16.89202,1721.70996,0.66147,0.2901415998
15.58649,15.79013,1935.71997,0.6834,0.2524797748
22.49727,22.82201,2291.43994,0.75315,0.261960899
13.84176,14.11638,1841.73999,0.66391,0.2678174284
29.88767,30.08247,1755.21997,0.77404,0.492853555
31.38514,31.68082,2288.70996,0.77273,0.4606140558
23.42764,23.68646,1787.83997,0.72526,0.8887630632
7.49194,8.39472,5218.75977,0.77203,0.7389361873
7.37376,8.49886,4329.56006,0.74859,1.0274424767
31.32681,31.50292,2066.5,0.73273,0.2729465385
9.73082,10.16494,3541.15991,0.71726,2.6786526199
8.981,9.50439,1114.73999,0.5048,0.5301409062
22.59331,22.7768,1778.12,0.71551,0.3636726254
15.93388,16.0767,2786.3999,0.7228,0.6855674566
15.87921,16.17243,1430.90002,0.62858,0.4586615984
35.25057,35.39294,1904.45996,0.79225,0.3570050038
32.73608,32.90312,1914.83997,0.78026,0.395529482
8.54052,9.02697,917.12201,0.48427,0.6541792947
